tag,hostname,category,location,rack,uPosition,status,purchaseCost,purchaseDate,salvageValue,usefulLifeYears
AST-BTM-NET-014,Leaf-4,NETWORK Lantai 4,neuCentrIX Batam,MMR 1,-,Active,,2023-01-01,,10
AST-BTM-NET-015,Leaf-5,NETWORK Lantai 4,neuCentrIX Batam,MMR 1,-,Active,,2023-01-01,,10
AST-BTM-NET-016,Leaf-6,NETWORK Lantai 4,neuCentrIX Batam,MMR 1,-,Active,,2023-01-01,,10
AST-BTM-NET-017,Leaf-7,NETWORK Lantai 4,neuCentrIX Batam,MMR 1,-,Active,,2023-01-01,,10
AST-BTM-NET-018,Leaf-8,NETWORK Lantai 4,neuCentrIX Batam,MMR 2,-,Active,,2023-01-01,,10
AST-BTM-NET-019,Leaf-9,NETWORK Lantai 4,neuCentrIX Batam,MMR 2,-,Active,,2023-01-01,,10
AST-BTM-NET-020,Leaf-10,NETWORK Lantai 4,neuCentrIX Batam,MMR 2,-,Active,,2023-01-01,,10
AST-BTM-NET-021,Leaf-11,NETWORK Lantai 4,neuCentrIX Batam,MMR 2,-,Active,,2023-01-01,,10
AST-BTM-NET-022,Leaf-12,NETWORK Lantai 4,neuCentrIX Batam,MMR 2,-,Active,,2023-01-01,,10
AST-BTM-NET-023,Leaf-13,NETWORK Lantai 4,neuCentrIX Batam,MMR 2,-,Active,,2023-01-01,,10
AST-BTM-NET-024,Leaf-14,NETWORK Lantai 4,neuCentrIX Batam,MMR 2,-,Active,,2023-01-01,,10
AST-BTM-NET-025,Leaf-15,NETWORK Lantai 4,neuCentrIX Batam,MMR 2,-,Active,,2023-01-01,,10
AST-BTM-NET-026,Leaf-16,NETWORK Lantai 4,neuCentrIX Batam,MMR 2,-,Active,,2023-01-01,,10
AST-BTM-UPS-005,UPS A,UPS,neuCentrIX Batam,Utility Room,-,Active,,2023-01-01,,10
AST-BTM-UPS-006,UPS B,UPS,neuCentrIX Batam,Utility Room,-,Active,,2023-01-01,,10
AST-BTM-UPS-007,Battery Bank A,UPS,neuCentrIX Batam,R. Battrey 2,-,Active,,2023-01-01,,10
AST-BTM-UPS-008,Battery Bank B,UPS,neuCentrIX Batam,R. Battrey 2,-,Active,,2023-01-01,,10
